step,metric,value
69,learning_rate,0.0004261241970021413
69,mean_token_accuracy,0.5365620627999306
69,epoch,0.1475541299117883
70,loss,1.9943
70,grad_norm,0.7870258688926697
70,learning_rate,0.00042505353319057817
70,mean_token_accuracy,0.5310711786150932
70,epoch,0.14969259556268377
71,loss,2.039
71,grad_norm,0.5772075057029724
71,learning_rate,0.00042398286937901495
71,mean_token_accuracy,0.527528665959835
71,epoch,0.15183106121357925
72,loss,2.0018
72,grad_norm,0.5904698967933655
72,learning_rate,0.0004229122055674518
72,mean_token_accuracy,0.5341444686055183
72,epoch,0.15396952686447474
73,loss,1.955
73,grad_norm,0.936503529548645
73,learning_rate,0.0004218415417558887
73,mean_token_accuracy,0.5526145398616791
73,epoch,0.15610799251537022
74,loss,2.0423
74,grad_norm,0.7386596202850342
74,learning_rate,0.00042077087794432553
74,mean_token_accuracy,0.5328043960034847
74,epoch,0.1582464581662657
75,loss,2.0297
75,grad_norm,0.6347581148147583
75,learning_rate,0.0004197002141327623
75,mean_token_accuracy,0.5264685302972794
75,epoch,0.16038492381716118
76,loss,2.0443
76,grad_norm,0.6165225505828857
76,learning_rate,0.00041862955032119915
76,mean_token_accuracy,0.5258539877831936
76,epoch,0.16252338946805667
77,loss,2.0211
77,grad_norm,0.5829027891159058
77,learning_rate,0.000417558886509636
77,mean_token_accuracy,0.5293954387307167
77,epoch,0.16466185511895215
78,loss,1.9179
78,grad_norm,1.0225416421890259
78,learning_rate,0.0004164882226980728
78,mean_token_accuracy,0.5519904270768166
78,epoch,0.16680032076984763
79,loss,2.0148
79,grad_norm,0.6367632150650024
79,learning_rate,0.0004154175588865097
79,mean_token_accuracy,0.5246936827898026
79,epoch,0.16893878642074311
80,loss,2.0304
80,grad_norm,0.7050166726112366
80,learning_rate,0.0004143468950749465
80,mean_token_accuracy,0.5342469811439514
80,epoch,0.1710772520716386
81,loss,1.9468
81,grad_norm,0.6431599855422974
81,learning_rate,0.0004132762312633833
81,mean_token_accuracy,0.5512282103300095
81,epoch,0.17321571772253408
82,loss,2.0112
82,grad_norm,0.6631960272789001
82,learning_rate,0.00041220556745182014
82,mean_token_accuracy,0.5333518460392952
82,epoch,0.17535418337342956
83,loss,1.9623
83,grad_norm,0.5522720217704773
83,learning_rate,0.000411134903640257
83,mean_token_accuracy,0.5410674586892128
83,epoch,0.17749264902432504
84,loss,1.9402
84,grad_norm,0.6327552795410156
84,learning_rate,0.00041006423982869377
84,mean_token_accuracy,0.5418236181139946
84,epoch,0.17963111467522053
85,loss,2.0528
85,grad_norm,0.5281873941421509
85,learning_rate,0.0004089935760171306
85,mean_token_accuracy,0.5233605429530144
85,epoch,0.181769580326116
86,loss,1.9911
86,grad_norm,0.5829070210456848
86,learning_rate,0.0004079229122055675
86,mean_token_accuracy,0.5416903719305992
86,epoch,0.1839080459770115
87,loss,1.9012
87,grad_norm,0.7690048217773438
87,learning_rate,0.0004068522483940043
87,mean_token_accuracy,0.5616099461913109
87,epoch,0.18604651162790697
88,loss,1.999
88,grad_norm,0.5361735224723816
88,learning_rate,0.0004057815845824411
88,mean_token_accuracy,0.5317464284598827
88,epoch,0.18818497727880246
89,loss,1.9953
89,grad_norm,0.6217002868652344
89,learning_rate,0.00040471092077087797
89,mean_token_accuracy,0.535640113055706
89,epoch,0.19032344292969794
90,loss,2.0331
90,grad_norm,0.4878235459327698
90,learning_rate,0.00040364025695931475
90,mean_token_accuracy,0.5292756706476212
90,epoch,0.19246190858059342
91,loss,2.0084
91,grad_norm,0.5649746656417847
91,learning_rate,0.0004025695931477516
91,mean_token_accuracy,0.5393447577953339
91,epoch,0.1946003742314889
92,loss,1.9447
92,grad_norm,0.5543285608291626
92,learning_rate,0.00040149892933618843
92,mean_token_accuracy,0.5495176278054714
92,epoch,0.1967388398823844
93,loss,2.0089
93,grad_norm,0.4770084321498871
93,learning_rate,0.0004004282655246253
93,mean_token_accuracy,0.5360579192638397
93,epoch,0.19887730553327987
94,loss,1.8631
94,grad_norm,0.7781788110733032
94,learning_rate,0.0003993576017130621
94,mean_token_accuracy,0.5589323714375496
